X,HOVM,GHC
0,0.022555708328882856,0.022188889006773634
1,0.02167504133780797,0.017987014015515643
2,0.020961194674173993,0.017786805669466655
3,0.023019472002983092,0.017060083667437238
4,0.023323389013608295,0.017798985997835796
5,0.02431854198376338,0.01792544464270274
6,0.0244543333252271,0.018169500331083936
7,0.023122721989949545,0.0178066246509552
8,0.02541150001684825,0.017697639326254528
9,0.02347329133749008,0.01724515269200007
10,0.022528889000415803,0.018008833348751068
11,0.0232640416820844,0.017770180642604827
12,0.023742166340351104,0.017796514332294466
13,0.024068416992823284,0.01722506966193517
14,0.024043846984704333,0.01734968098004659
15,0.023551472306251525,0.018030999680360156
16,0.024009610652923584,0.018157861332098645
17,0.02452455536524455,0.018321625014146168
18,0.023545944333076475,0.018180555323759715
19,0.026786222020785014,0.017384735981623333
20,0.028990055680274962,0.029201069335142774
21,0.035491389016310375,0.04274409699440002
22,0.04820713899532954,0.07979829168319702
23,0.07136606967449188,0.14044598603248595
24,0.12038050001859665,0.2671599859992663
25,0.22252470833063126,0.5254510969916979
26,0.41934208301703135,1.0388659586707751
27,0.7880954719980559,2.0527922643621763
28,1.5672443473339082,4.056299986362458
29,3.0670561389923097,8.066416083335877
30,6.241786680658658,16.2704442636768
31,12.984400985995928,32.30191993065675
32,25.889062332987784,64.5059535276691
