X,HOVM,GHC
0,0.020743221978346507,0.023802527646223707
1,0.10332547199726105,0.08116880532105764
2,0.18876676364739736,0.14320037500063576
3,0.27165969433387116,0.23053947200377783
4,0.35416225000222523,0.2945097496509552
5,0.4387862360080083,0.38390577733516695
6,0.5322025693456331,0.43373448632160827
7,0.6036813609997431,0.5290431526700655
8,0.7286615283489227,0.6231466246843338
9,0.7864415003259977,0.6812360556523005
10,0.8635386946797371,0.7108199163277944
11,0.9460158476829529,0.8129544586737951
12,1.0241094866991043,0.9091700276732445
13,1.1093463333447773,1.00770344465971
14,1.1915975693265597,1.113828388651212
15,1.2750697639981907,1.1284770280122758
16,1.3613137496709824,1.1650930139819782
17,1.4406930973529817,1.2030966389775277
18,1.5344503893653552,1.3220061806639034
19,1.6006657500068346,1.4179248613317808
20,1.6897876113454502,1.5133029583295186
21,1.7673933746814727,1.615249527335167
22,1.8633659583330155,1.7236649443308514
23,1.928940069337686,1.8081387503345807
24,2.002773860991001,1.88907286131382
25,2.0881010973254837,1.94917705565691
26,2.177474638660749,1.9698374446630478
27,2.2797270276546477,2.0003040833274524
28,2.3537404026587807,2.067925583322843
29,2.4416582776904106,2.067541082998117
30,2.558150014003118,2.186631611029307
31,2.593813236335913,2.265884416321913
32,2.6738635280132295,2.361940833648046
33,2.7703233889738716,2.477390916645527
34,2.857844041327635,2.5990306666493415
35,2.9115255276759466,2.689795319358508
36,3.037168999969959,2.7567096113562584
37,3.1237901946504913,2.8559266250133515
38,3.173646541674932,3.018891249656677
39,3.3072230973243713,3.125231902996699
40,3.3554422219991684,3.2294535416762034
41,3.4686171249747275,3.2597718469897905
42,3.5086140000224115,3.3097271666526793
43,3.7512136946717898,3.3223194306492805
44,3.6578732083241143,3.3364356109897293
45,3.8004360970258713,3.370834916671117
46,3.867025388677915,3.4101112363537154
47,3.9136851666371024,3.4496412916779517
48,4.005495346645514,3.484366249680519
49,4.091124125023683,3.5192002500096957
50,4.157346402347088,3.559445638994376
51,4.287860749999682,3.7124311803380645
52,4.322217249989509,3.8279224720199903
53,4.647837111353875,3.9133823753198
54,4.542968069672584,3.96690573600928
55,4.615081471999486,4.0902341803312305
56,4.653435930669308,4.225969763994217
57,4.78760036132733,4.3306529163320855
58,4.842963041643302,4.453285957992077
59,4.931961069325606,4.533817458331585
60,5.042057722310226,4.660331930657228
61,5.097762069304784,4.739991777996223
62,5.127387624998887,4.849897833327453
63,5.246098805646102,4.969027667005856
64,5.340648111005624,5.093700916687648
