X,HOVM,GHC
0,0.02040636134147644,0.019576124986012775
1,0.07029784733057022,0.043092888991038004
2,0.10382788866758347,0.0919186390042305
3,0.1632837783495585,0.14137012499570847
4,0.19943536134560905,0.1835327360033989
5,0.35323173634211225,0.2437871803243955
6,0.37371497267484666,0.33105858333905536
7,0.519705597003301,0.39154995801051456
8,0.423474749982357,0.44167438900470735
9,0.5393946390151978,0.4702826526562373
10,0.5135381246606509,0.5461405966877937
11,0.7839658333261809,0.684423680305481
12,0.513579402645429,0.6828088613351186
13,0.6434070973396301,0.7793825136820475
14,0.7198970416585604,0.7985204169948896
15,0.577752833644549,0.8822548476656278
16,0.7508286386728287,0.9681277639865875
17,0.9079104720155398,1.022400431017081
18,1.3522632499933243,1.207015013674895
19,0.8473475970029831,1.1215064863165218
20,1.0824040000041326,1.1974272916515667
21,1.6952502083381016,1.4912003469864528
22,1.5254650276700656,1.3925723886887234
23,1.2547989303072293,1.4815081250270208
24,1.316187791645527,1.4626918053428333
25,1.9561711669961612,1.5976843470136326
26,1.8123067366679508,1.6830624309976896
27,1.5345630833307902,1.7578984026710194
28,2.018569736003876,1.8862295136650402
29,1.5919252500136694,1.8417130973537763
30,1.1150339306791623,1.9448964026570321
31,2.608517958343029,2.092211249669393
32,1.479183208346367,2.110400389333566
33,2.297766999999682,2.3949451526999472
34,2.490833208322525,2.4126470970114076
35,2.4403573746681215,2.408550902644793
36,2.703512750327587,2.68244981966416
37,2.219660083671411,2.7247514583468435
38,1.4770911110242206,2.5307010693351426
39,1.9827176523208618,2.764460250000159
40,2.5321163193384804,2.9368653053243956
41,2.408561638991038,3.017863291978836
42,2.4896359303196274,2.987250374674797
43,2.564787736018499,3.0621906523505844
44,2.880901708304882,3.1982556113203366
45,3.651174319008986,3.2978489580154418
46,3.7266195693413415,3.534676194310188
47,2.0194025553266206,3.449943180680275
48,2.8753748753468193,3.524561708688736
49,4.1585935973326364,3.546796000023683
50,3.704257278005282,3.5821899446845054
51,3.24271887499094,3.787759013990561
52,3.3438578893343607,3.919276139318943
53,3.981830263992151,4.139822318991025
54,4.1245004996657375,3.91653105566899
55,3.5149783890048663,3.972340361336867
56,4.299013652682304,4.174797333002091
57,4.389423249661922,4.481700874984265
58,3.7612075559695564,4.2692286806702615
59,4.143298416654269,4.40243762499094
60,2.9075290973385175,4.50877418033282
61,4.634251694679261,4.7921126116514206
62,5.7899243476589515,4.597164847354095
63,6.068088139017423,5.069784416675567
64,4.920546389321486,5.1232641526460645
