X,HVM,GHC
0,0.02200693066914876,0.017757666687170666
1,0.020469916323820753,0.017871069649855298
2,0.01977729133764903,0.017844000339508056
3,0.01986929202079773,0.01846126401424408
4,0.020295319338639577,0.017985305349032085
5,0.02114072233438492,0.018086166659990948
6,0.020339875002702075,0.01791691666841507
7,0.02112519433101018,0.017947694341341656
8,0.020768722653388978,0.017783278008302053
9,0.020400596996148428,0.01775152798493703
10,0.02051699968179067,0.016390222012996673
11,0.02100838899612427,0.01788627765576045
12,0.02050251366694768,0.018300221999486287
13,0.020992639323075612,0.017969944655895232
14,0.020880291998386383,0.017528291324774424
15,0.01926081935564677,0.017449111342430115
16,0.020250610987345378,0.018216180682182313
17,0.0194675973256429,0.017591527700424194
18,0.019301611344019573,0.01754490266243617
19,0.02248934733867645,0.017349805653095244
20,0.019525985658168793,0.018119138995806378
21,0.020167541662851972,0.01826923567056656
22,0.019733028332392377,0.030589527666568757
23,0.01983473598957062,0.050839180668195094
24,0.019978499988714857,0.0805115556716919
25,0.01987752769390742,0.1547170139948527
26,0.019537861347198485,0.295074861685435
27,0.01949580536286036,0.5794535413384437
28,0.0194842223127683,1.1512102223436038
29,0.019564430673917135,2.3019808193445206
30,0.019775777995586396,4.511522166331609
31,0.019729819337526957,9.042404333333174
32,0.01963790301481883,18.015408388694127
